Date,App_Name,Category,Minutes_Used
2026-07-18,Instagram,Social Media,137
2026-07-18,YouTube,Entertainment,140
2026-07-18,VS Code,Coding,131
2026-07-18,Chrome,Education,126
2026-07-18,ChatGPT,Education,125
2026-07-18,Spotify,Entertainment,136
2026-07-19,Instagram,Social Media,64
2026-07-19,YouTube,Entertainment,196
2026-07-19,VS Code,Coding,130
2026-07-19,Chrome,Education,216
2026-07-19,ChatGPT,Education,222
2026-07-19,Spotify,Entertainment,147
2026-07-20,Instagram,Social Media,101
2026-07-20,YouTube,Entertainment,136
2026-07-20,VS Code,Coding,214
2026-07-20,Chrome,Education,136
2026-07-20,ChatGPT,Education,99
2026-07-20,Spotify,Entertainment,95
2026-07-21,Instagram,Social Media,46
2026-07-21,YouTube,Entertainment,123
2026-07-21,VS Code,Coding,57
2026-07-21,Chrome,Education,26
2026-07-21,ChatGPT,Education,84
2026-07-21,Spotify,Entertainment,235
2026-07-22,Instagram,Social Media,36
2026-07-22,YouTube,Entertainment,228
2026-07-22,VS Code,Coding,167
2026-07-22,Chrome,Education,156
2026-07-22,ChatGPT,Education,25
2026-07-22,Spotify,Entertainment,114
2026-07-23,Instagram,Social Media,151
2026-07-23,YouTube,Entertainment,226
2026-07-23,VS Code,Coding,174
2026-07-23,Chrome,Education,231
2026-07-23,ChatGPT,Education,29
2026-07-23,Spotify,Entertainment,33
2026-07-24,Instagram,Social Media,44
2026-07-24,YouTube,Entertainment,94
2026-07-24,VS Code,Coding,91
2026-07-24,Chrome,Education,22
2026-07-24,ChatGPT,Education,67
2026-07-24,Spotify,Entertainment,96
2026-07-25,Instagram,Social Media,41
2026-07-25,YouTube,Entertainment,159
2026-07-25,VS Code,Coding,92
2026-07-25,Chrome,Education,191
2026-07-25,ChatGPT,Education,155
2026-07-25,Spotify,Entertainment,211
2026-07-26,Instagram,Social Media,162
2026-07-26,YouTube,Entertainment,45
2026-07-26,VS Code,Coding,95
2026-07-26,Chrome,Education,77
2026-07-26,ChatGPT,Education,97
2026-07-26,Spotify,Entertainment,47
2026-07-27,Instagram,Social Media,93
2026-07-27,YouTube,Entertainment,225
2026-07-27,VS Code,Coding,99
2026-07-27,Chrome,Education,48
2026-07-27,ChatGPT,Education,140
2026-07-27,Spotify,Entertainment,216
2026-07-28,Instagram,Social Media,42
2026-07-28,YouTube,Entertainment,32
2026-07-28,VS Code,Coding,162
2026-07-28,Chrome,Education,66
2026-07-28,ChatGPT,Education,200
2026-07-28,Spotify,Entertainment,232
2026-07-29,Instagram,Social Media,135
2026-07-29,YouTube,Entertainment,111
2026-07-29,VS Code,Coding,50
2026-07-29,Chrome,Education,97
2026-07-29,ChatGPT,Education,95
2026-07-29,Spotify,Entertainment,93
2026-07-30,Instagram,Social Media,102
2026-07-30,YouTube,Entertainment,28
2026-07-30,VS Code,Coding,206
2026-07-30,Chrome,Education,157
2026-07-30,ChatGPT,Education,36
2026-07-30,Spotify,Entertainment,161
2026-07-31,Instagram,Social Media,168
2026-07-31,YouTube,Entertainment,216
2026-07-31,VS Code,Coding,139
2026-07-31,Chrome,Education,164
2026-07-31,ChatGPT,Education,159
2026-07-31,Spotify,Entertainment,78
